Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2018-12-30,0.042908992,0.040782894,0.0433507776,0.039773888
ADA,2018-12-31,0.0427394918,0.0427214997,0.0427769806,0.0426951609
ADA,2019-01-01,0.0463974364,0.0426874047,0.0464855238,0.0417513773
ADA,2019-01-02,0.0473207667,0.0463974364,0.0480924331,0.0456284955
ADA,2019-01-03,0.0444902963,0.0473225159,0.0474589518,0.043572981
ADA,2019-01-04,0.0446690406,0.0440781902,0.045231759,0.043171702
ADA,2019-01-05,0.0453632236,0.0446693822,0.046492454,0.0442634126
ADA,2019-01-06,0.058796882,0.0455345433,0.0597968423,0.0454689343
ADA,2019-01-07,0.0491464298,0.0588354028,0.0605412884,0.0485020913
ADA,2019-01-08,0.0498017312,0.0491464922,0.0516859434,0.0481517848
ADA,2019-01-09,0.0531423424,0.0498120929,0.0535618992,0.0497505632
ADA,2019-01-10,0.0438803365,0.0531422789,0.0546012224,0.0418402483
ADA,2019-01-11,0.0440332004,0.0439050566,0.0453513037,0.0421706559
ADA,2019-01-12,0.0433516701,0.0440368751,0.0449635442,0.0427614143
ADA,2019-01-13,0.0398704167,0.0434782295,0.043751534,0.0394516191
ADA,2019-01-14,0.0434618258,0.0398724325,0.0444646103,0.0395316016
ADA,2019-01-15,0.0423002859,0.0434760821,0.0443313198,0.0415034792
ADA,2019-01-16,0.044461019,0.042300617,0.0452871368,0.0422156026
ADA,2019-01-17,0.0449422186,0.0447578931,0.046227924,0.0435345873
ADA,2019-01-18,0.0437469859,0.0449450806,0.0452335969,0.0434331854
ADA,2019-01-19,0.0456838896,0.0437461568,0.0461251791,0.0434823859
ADA,2019-01-20,0.0432481148,0.0452871526,0.0455818868,0.0414481635
ADA,2019-01-21,0.0425036832,0.0432501857,0.0433762722,0.0419839401
ADA,2019-01-22,0.0435092442,0.0425058602,0.0439876271,0.0411462251
ADA,2019-01-23,0.0427752623,0.0433588102,0.0439569452,0.0421227691
ADA,2019-01-24,0.042900326,0.0427124425,0.0433799118,0.0422228567
ADA,2019-01-25,0.0424543756,0.0428489466,0.0429783604,0.042054739
ADA,2019-01-26,0.0423810883,0.0424540881,0.0433007129,0.0421639852
ADA,2019-01-27,0.0406557555,0.0423813387,0.0423920552,0.0400280241
ADA,2019-01-28,0.0382935708,0.0406174929,0.0409524876,0.0365958908
ADA,2019-01-29,0.0379247369,0.0385038615,0.0390102471,0.0365714588
ADA,2019-01-30,0.0391390883,0.037923873,0.0397998174,0.0372389898
ADA,2019-01-31,0.0382684322,0.0392304764,0.0399507561,0.0374552029
ADA,2019-02-01,0.0385259529,0.0379774965,0.0386490631,0.0366549421
ADA,2019-02-02,0.0381383538,0.0385259529,0.0387313714,0.0376861336
ADA,2019-02-03,0.0376826574,0.0381358066,0.039111554,0.037247061
ADA,2019-02-04,0.0374585291,0.0377525976,0.0383100716,0.0373246426
ADA,2019-02-05,0.0374781815,0.0374579506,0.0380255392,0.0370430474
ADA,2019-02-06,0.0363070944,0.0376025333,0.0378024763,0.0355354473
ADA,2019-02-07,0.0361391984,0.0362782763,0.0368420579,0.035929603
ADA,2019-02-08,0.039931763,0.0361444714,0.0418882351,0.0357939789
ADA,2019-02-09,0.040681551,0.0402849782,0.0417877926,0.0400632684
ADA,2019-02-10,0.0416936138,0.0406798825,0.0417599919,0.0394216543
ADA,2019-02-11,0.0415057157,0.0416990604,0.0426709608,0.0410382455
ADA,2019-02-12,0.0409186026,0.0415058006,0.0416028651,0.0400658847
ADA,2019-02-13,0.0408761162,0.0412294563,0.0419623705,0.0404978418
ADA,2019-02-14,0.0401498118,0.0408760763,0.0409643146,0.0395667843
ADA,2019-02-15,0.0400056505,0.0399994983,0.0411417151,0.0396473611
ADA,2019-02-16,0.0408320432,0.0400026274,0.0410455057,0.0399639155
ADA,2019-02-17,0.0409877945,0.0408284645,0.0417839786,0.0400996926
ADA,2019-02-18,0.0449312154,0.0409849023,0.0464662973,0.0409051319
ADA,2019-02-19,0.0465854104,0.0452119224,0.0478965617,0.0451839519
ADA,2019-02-20,0.046621795,0.046581746,0.0472664055,0.0445117072
ADA,2019-02-21,0.0442916818,0.0466224292,0.0476397457,0.0437556785
ADA,2019-02-22,0.0455616416,0.0445607471,0.0457079313,0.0441710212
ADA,2019-02-23,0.048408143,0.0455613394,0.0488772861,0.0451883299
ADA,2019-02-24,0.0423188121,0.048408074,0.0502648126,0.0410883831
ADA,2019-02-25,0.0433813053,0.0423181933,0.0440988605,0.0414349676
ADA,2019-02-26,0.0427115297,0.0433812907,0.0435567744,0.0420233332
ADA,2019-02-27,0.042425836,0.0427596106,0.0432497366,0.0412148693
ADA,2019-02-28,0.042712316,0.0424281182,0.0435762064,0.0423258044
ADA,2019-03-01,0.0432320611,0.0427111326,0.0435163554,0.0425662073
ADA,2019-03-02,0.0423475276,0.0432324106,0.0432612324,0.0418891238
ADA,2019-03-03,0.0418468484,0.0423232119,0.042547374,0.0416658749
ADA,2019-03-04,0.0400217039,0.0418467855,0.0419970294,0.0390133902
ADA,2019-03-05,0.0425338476,0.0401084654,0.0431228712,0.0398643468
ADA,2019-03-06,0.0423490573,0.0425271071,0.0431382412,0.0417707561
ADA,2019-03-07,0.0427710633,0.0423501234,0.0431835934,0.0419296109
ADA,2019-03-08,0.0421857935,0.0427710632,0.043341701,0.0419565754
ADA,2019-03-09,0.0459688898,0.0423256852,0.0469738941,0.0420921247
ADA,2019-03-10,0.0452461986,0.046462406,0.0465058537,0.0440221327
ADA,2019-03-11,0.047606534,0.0452356968,0.0481773645,0.0443604345
ADA,2019-03-12,0.0471308113,0.0476078109,0.0478657959,0.0449942849
ADA,2019-03-13,0.0459596402,0.0471304864,0.0482411033,0.0456890377
ADA,2019-03-14,0.0473538293,0.0459596402,0.0478180859,0.0458104246
ADA,2019-03-15,0.0494599561,0.0473537079,0.0501875918,0.0473129608
ADA,2019-03-16,0.0508076252,0.0494600732,0.0515968282,0.0488366259
ADA,2019-03-17,0.0496779013,0.051013832,0.0511016744,0.0492517846
ADA,2019-03-18,0.0495402151,0.0496773808,0.0506888061,0.0487956643
ADA,2019-03-19,0.0513578457,0.0497512746,0.0528259814,0.0490174017
ADA,2019-03-20,0.0530988683,0.0513592383,0.0534636687,0.0506625579
ADA,2019-03-21,0.0529682782,0.0533656789,0.0544372125,0.049623646
ADA,2019-03-22,0.0581518559,0.0529642478,0.0588299719,0.0518074262
ADA,2019-03-23,0.0632205653,0.0577806147,0.0639178777,0.0567606268
ADA,2019-03-24,0.0604017357,0.0632205653,0.0639348821,0.0589985207
ADA,2019-03-25,0.0580460134,0.0604018538,0.0615422545,0.0567502297
ADA,2019-03-26,0.0608716879,0.0580460211,0.061377356,0.057935505
ADA,2019-03-27,0.0670856937,0.0607867761,0.0676183898,0.06021102
ADA,2019-03-28,0.0655535748,0.0670857221,0.0671002522,0.0639537133
ADA,2019-03-29,0.0717081072,0.0655535649,0.0720963708,0.0651132749
ADA,2019-03-30,0.0709887933,0.0713288396,0.0727654468,0.0685028674
ADA,2019-03-31,0.0698067632,0.0709887933,0.0724736001,0.0696871924
ADA,2019-04-01,0.0722539588,0.0698067632,0.0724647133,0.0690369637
ADA,2019-04-02,0.0834552406,0.0722548618,0.0834596033,0.0707431253
ADA,2019-04-03,0.092301288,0.083455638,0.100307974,0.0833673228
ADA,2019-04-04,0.086960263,0.0911344773,0.0944699346,0.0829194528
ADA,2019-04-05,0.0908711317,0.0869608221,0.0923106875,0.0869276091
ADA,2019-04-06,0.089846489,0.0909337479,0.0940685439,0.0877355824
ADA,2019-04-07,0.0902144699,0.089846489,0.0913356342,0.0882624546
ADA,2019-04-08,0.0868047429,0.0902144699,0.0917626132,0.0829551314
ADA,2019-04-09,0.0838212758,0.0868028517,0.0873138645,0.0812064169
ADA,2019-04-10,0.0892015728,0.0838212761,0.0919970916,0.0836753594
ADA,2019-04-11,0.0832177471,0.0896757156,0.0905051765,0.0768020627
ADA,2019-04-12,0.083249824,0.083406723,0.0853680207,0.0798445076
ADA,2019-04-13,0.0832768639,0.083249824,0.0851092777,0.0826283152
ADA,2019-04-14,0.0847085715,0.0832155256,0.0849917051,0.0810677169
ADA,2019-04-15,0.0817254194,0.0844353788,0.0854713232,0.0807011736
ADA,2019-04-16,0.0831616512,0.0818575203,0.0836205725,0.080117091
ADA,2019-04-17,0.0830899671,0.0831616512,0.0842033103,0.0816492617
ADA,2019-04-18,0.0816340753,0.0828971435,0.0837838376,0.0816290352
ADA,2019-04-19,0.0800513146,0.081788736,0.0818072872,0.0781225709
ADA,2019-04-20,0.0766998674,0.0800513146,0.0806169503,0.0759104172
ADA,2019-04-21,0.0752981028,0.0766998671,0.0783910764,0.0727040749
ADA,2019-04-22,0.079733973,0.0751561812,0.0798186561,0.0731719722
ADA,2019-04-23,0.0763079394,0.079733973,0.080931956,0.0752213707
ADA,2019-04-24,0.0724140957,0.0763072,0.076757197,0.0716855661
ADA,2019-04-25,0.0700863265,0.0724140957,0.0769078695,0.0686222093
ADA,2019-04-26,0.0689589979,0.0694811284,0.070430725,0.0664926357
ADA,2019-04-27,0.0706227589,0.0689589706,0.071572946,0.0682742097
ADA,2019-04-28,0.0682667295,0.0706227589,0.0706417074,0.0676761328
ADA,2019-04-29,0.0645792593,0.0685046035,0.0687973589,0.0642049045
ADA,2019-04-30,0.0694811747,0.0648422864,0.0694811747,0.0648099563
